N, K, Somatório, Tempo médio
10000000, 1, 13, 0.023849
10000000, 1, 13, 0.022375
10000000, 1, 13, 0.023005
10000000, 1, 13, 0.023115
10000000, 1, 13, 0.022817
10000000, 1, 13, 0.022864
10000000, 1, 13, 0.023427
10000000, 1, 13, 0.023040
10000000, 1, 13, 0.023500
10000000, 1, 13, 0.022807
10000000, 2, 13, 0.064346
10000000, 2, 13, 0.046231
10000000, 2, 13, 0.074013
10000000, 2, 13, 0.058914
10000000, 2, 13, 0.064047
10000000, 2, 13, 0.063110
10000000, 2, 13, 0.056528
10000000, 2, 13, 0.069014
10000000, 2, 13, 0.044728
10000000, 2, 13, 0.064906
10000000, 4, 13, 0.237090
10000000, 4, 13, 0.231637
10000000, 4, 13, 0.215089
10000000, 4, 13, 0.184841
10000000, 4, 13, 0.220424
10000000, 4, 13, 0.168234
10000000, 4, 13, 0.237973
10000000, 4, 13, 0.219884
10000000, 4, 13, 0.200052
10000000, 4, 13, 0.262586
10000000, 8, 13, 0.417801
10000000, 8, 13, 0.395222
10000000, 8, 13, 0.391135
10000000, 8, 13, 0.363901
10000000, 8, 13, 0.352981
10000000, 8, 13, 0.423376
10000000, 8, 13, 3.294615
10000000, 8, 13, 0.559142
10000000, 8, 13, 0.377769
10000000, 8, 13, 0.691337
10000000, 16, 13, 2.341753
10000000, 16, 13, 1.004445
10000000, 16, 13, 0.753233
10000000, 16, 13, 1.891975
10000000, 16, 13, 7.878279
10000000, 16, 13, 0.592736
10000000, 16, 13, 15.397592
10000000, 16, 13, 0.474561
10000000, 16, 13, 3.489458
10000000, 16, 13, 3.709011
10000000, 32, 13, 1.339268
10000000, 32, 13, 6.978382
10000000, 32, 13, 8.778192
10000000, 32, 13, 1.828977
10000000, 32, 13, 1.340996
10000000, 32, 13, 1.957471
10000000, 32, 13, 1.606911
10000000, 32, 13, 1.514290
10000000, 32, 13, 2.281878
10000000, 32, 13, 1.602769
10000000, 64, 13, 3.797024
10000000, 64, 13, 2.114439
10000000, 64, 13, 4.918706
10000000, 64, 13, 3.579992
10000000, 64, 13, 4.159421
10000000, 64, 13, 10.841078
10000000, 64, 13, 8.762599
10000000, 64, 13, 14.132585
10000000, 64, 13, 6.591838
10000000, 64, 13, 4.273187
10000000, 128, 13, 18.242494
10000000, 128, 13, 12.257628
10000000, 128, 13, 53.260150
10000000, 128, 13, 15.331852
10000000, 128, 13, 11.492920
10000000, 128, 13, 12.427438
10000000, 128, 13, 15.963925
10000000, 128, 13, 16.276659
10000000, 128, 13, 17.450364
10000000, 128, 13, 11.286129
10000000, 256, 13, 34.435450
10000000, 256, 13, 14.232864
10000000, 256, 13, 1.440097
10000000, 256, 13, 25.374226
10000000, 256, 13, 22.482523
10000000, 256, 13, 29.716608
10000000, 256, 13, 18.936941
10000000, 256, 13, 13.175859
10000000, 256, 13, 31.174507
10000000, 256, 13, 27.458095
