N, K, Somatório, Tempo médio
100000, 1, 74, 0.000482
100000, 1, 74, 0.000890
100000, 1, 74, 0.001168
100000, 1, 74, 0.001517
100000, 1, 74, 0.001793
100000, 1, 74, 0.002012
100000, 1, 74, 0.002292
100000, 1, 74, 0.002577
100000, 1, 74, 0.002970
100000, 1, 74, 0.003328
100000, 2, 74, 0.000490
100000, 2, 74, 0.000974
100000, 2, 74, 0.001462
100000, 2, 74, 0.002215
100000, 2, 74, 0.002833
100000, 2, 74, 0.003593
100000, 2, 74, 0.004067
100000, 2, 74, 0.004685
100000, 2, 74, 0.005267
100000, 2, 74, 0.005672
100000, 4, 74, 0.000350
100000, 4, 74, 0.001585
100000, 4, 74, 0.002638
100000, 4, 74, 0.003346
100000, 4, 74, 0.004927
100000, 4, 74, 0.006183
100000, 4, 74, 0.009810
100000, 4, 74, 0.011081
100000, 4, 74, 0.013217
100000, 4, 74, 0.014331
100000, 8, 74, 0.002496
100000, 8, 74, 0.004692
100000, 8, 74, 0.008404
100000, 8, 74, 0.010314
100000, 8, 74, 0.011544
100000, 8, 74, 0.013531
100000, 8, 74, 0.018668
100000, 8, 74, 0.020625
100000, 8, 74, 0.023715
100000, 8, 74, 0.025345
100000, 16, 74, 0.002224
100000, 16, 74, 0.004226
100000, 16, 74, 0.005928
100000, 16, 74, 0.008325
100000, 16, 74, 0.010019
100000, 16, 74, 0.046747
100000, 16, 74, 0.056186
100000, 16, 74, 0.062994
100000, 16, 74, 0.064836
100000, 16, 74, 0.066791
100000, 32, 74, 0.002186
100000, 32, 74, 0.005038
100000, 32, 74, 0.006992
100000, 32, 74, 0.009781
100000, 32, 74, 0.011682
100000, 32, 74, 0.013744
100000, 32, 74, 0.016144
100000, 32, 74, 0.017482
100000, 32, 74, 0.017952
100000, 32, 74, 0.019887
100000, 64, 13, 0.001998
100000, 64, 26, 0.003185
100000, 64, 13, 0.005622
100000, 64, 92, 0.008125
100000, 64, -12, 0.010103
100000, 64, 124, 0.011318
100000, 64, 86, 0.012464
100000, 64, 13, 0.013569
100000, 64, 92, 0.014395
100000, 64, 92, 0.015519
100000, 128, 14, 0.001094
100000, 128, 14, 0.063779
100000, 128, -42, 0.065060
100000, 128, -36, 0.066859
100000, 128, -62, 0.067979
100000, 128, 0, 0.069343
100000, 128, -30, 0.070468
100000, 128, 22, 0.071826
100000, 128, -45, 0.074569
100000, 128, -62, 0.075698
100000, 256, -19, 0.001685
100000, 256, 6, 0.003304
100000, 256, -2, 0.005612
100000, 256, 68, 0.007460
100000, 256, -30, 0.010488
100000, 256, 14, 0.012160
100000, 256, -30, 0.014787
100000, 256, 35, 0.017731
100000, 256, 75, 0.020306
100000, 256, -27, 0.022264
